"EventID","PDGcode","nopflash","flash","flash_time","flashPE","maxhitamp","meanhitamp","maxhitarea","meanhitarea","maxhitwidth","meanhitwidth","maxhitPE","meanhitPE","maxhitrisetime","meanhitrisetime"
5,"pion",1,0,0.933294,2348.59,3084.09,60.1759,52100.9,672.948,0.552,0.040894,260.505,3.36474,0.024,0.00434384
6,"pion",1,0,0.00229428,10297.7,5373.62,68.6404,195545,1012.06,1.692,0.0455204,977.727,5.06031,0.274,0.00471155
7,"pion",1,0,0.915764,2410.63,1898.35,55.1028,42596.8,634.376,0.568,0.0410079,212.984,3.17188,0.048,0.00441316
8,"pion",1,0,0.000271668,7011.55,3694.47,63.4824,198122,894.901,1.914,0.0441659,990.61,4.47451,0.094,0.00461264
9,"pion",1,0,0.00195251,10797.9,5879.13,69.685,251632,1218.03,2.104,0.0473649,1258.16,6.09016,0.068,0.00464862
10,"pion",1,0,1.75095,2058.24,2409.91,56.9215,57153.8,616.241,0.552,0.0401916,285.769,3.0812,0.036,0.00435629
11,"pion",1,0,0.0014571,14562.1,5217.28,73.5984,327955,1391.5,2.548,0.0501252,1639.78,6.95752,0.174,0.00511132
12,"pion",1,0,0.000457103,8642.78,4260.1,63.9761,152408,882.366,1.444,0.0441174,762.038,4.41183,0.122,0.00464829
13,"pion",1,0,0.00195251,10376.1,5060.11,69.3148,257441,1150.98,2.116,0.0471514,1287.2,5.75491,0.048,0.00463783
14,"pion",2,0,0.00124501,25320.3,14241.1,87.3982,757506,2023.2,3.042,0.0526009,3787.53,10.116,0.26,0.0050867
15,"pion",1,0,0.0019571,22785.3,10427.7,87.5544,474526,1906.72,2.33,0.0518293,2372.63,9.53358,0.116,0.00489874
16,"pion",3,0,0.0342197,99.5421,160.515,42.1178,1084.82,284.406,0.056,0.0338,5.42408,1.42203,0.008,0.00417143
17,"pion",1,0,0.00195251,8635.71,4377.48,64.6648,267694,1016.56,2.108,0.0453879,1338.47,5.08282,0.206,0.00489111
18,"pion",1,0,0.0939525,2179.73,1937.01,54.9753,68695.1,621.006,0.818,0.0411168,343.476,3.10503,0.104,0.00452991
19,"pion",2,0,0.00202772,22782,11522.8,88.2281,572263,1929.86,3.086,0.0517518,2861.31,9.6493,0.072,0.00494113
20,"pion",2,0,0.00178998,17640,10354.5,85.3874,518576,1787.23,3.046,0.0505522,2592.88,8.93616,0.112,0.00482168
1,"pion",1,0,0.00102772,7516.25,3286.36,62.6539,221580,1060.87,1.668,0.0459534,1107.9,5.30434,0.246,0.00495695
2,"pion",2,0,0.00248836,11434.9,12706.5,79.3279,575687,1575.05,3,0.0485978,2878.44,7.87527,0.106,0.00479614
3,"pion",1,0,0.00229428,10676.4,5632.54,70.03,166536,1168.1,1.738,0.0476707,832.681,5.8405,0.146,0.00490044
4,"pion",1,0,0.000977628,10846.7,4875.59,69.5054,237907,1223.55,2.1,0.0478488,1189.53,6.11773,0.046,0.00469261
5,"pion",1,0,2.84501,3067.34,4612.36,63.4743,120589,781.488,1.126,0.0418446,602.943,3.90744,0.088,0.00463439
6,"pion",3,0,0.00162762,10253,8076.64,73.2265,389599,1334.16,2.302,0.0472088,1947.99,6.67078,0.052,0.00470657
7,"pion",2,0,0.00102772,4085.24,2581.51,61.2242,96198,731.467,1.132,0.0419176,480.99,3.65733,0.042,0.00445479
8,"pion",1,0,0.000952506,8203.01,3435.92,64.2301,150699,906.911,1.558,0.0450149,753.494,4.53456,0.142,0.00460807
9,"pion",1,0,0.00212377,11993.1,5584.82,69.3031,293719,1258.46,2.326,0.0483263,1468.6,6.29231,0.12,0.00472613
10,"pion",1,0,2.69225,2158.61,2166.91,57.5776,46880.9,614.112,0.504,0.0393826,234.404,3.07056,0.026,0.0043357
11,"pion",2,0,626.012,1906.09,4855.22,62.0534,116760,744.568,0.988,0.0418008,583.798,3.72284,0.066,0.00464844
12,"pion",1,0,0.000952506,8438.57,4228.48,64.3053,253169,1079.1,2.172,0.0463031,1265.84,5.39551,0.076,0.00464962
13,"pion",2,0,0.00112332,10340.9,5079.32,71.1787,221033,1127.08,1.856,0.0459935,1105.17,5.63539,0.168,0.00465286
14,"pion",1,0,0.00221618,25799.8,9009.42,80.6384,468435,1659.69,2.74,0.0519254,2342.18,8.29844,0.2,0.00500611
15,"pion",1,0,0.000294284,22396.1,14056.4,88.9144,738735,2093.09,2.896,0.0513215,3693.67,10.4655,0.174,0.00481495
16,"pion",2,0,1438.37,153.14,155.71,40.9623,1925.14,288.943,0.068,0.0340943,9.6257,1.44472,0.006,0.00392453
17,"pion",1,0,0.00178998,7840.39,5207.23,67.2901,185212,910.615,1.736,0.043878,926.06,4.55307,0.038,0.00455749
18,"pion",2,0,2.48541,263.892,144.73,45.4637,1047.52,308.646,0.06,0.0344795,5.2376,1.54323,0.008,0.00436257
19,"pion",1,0,0.00295251,18519.9,6777.5,75.8607,424608,1678.29,2.834,0.052155,2123.04,8.39143,0.364,0.00498142
20,"pion",1,0,0.00138285,15635,6032.91,72.436,300879,1334.62,2.29,0.0489663,1504.39,6.67308,0.25,0.00487836
1,"pion",1,0,0.000271668,7006.19,3492.86,65.1399,189023,977.154,1.734,0.0460586,945.117,4.88577,0.234,0.00500558
2,"pion",1,0,0.000789984,6644.53,2997.78,65.1402,126858,873.131,1.204,0.0448857,634.289,4.36566,0.15,0.00476741
3,"pion",2,0,0.00162762,13646,9081.91,78.8258,385144,1514.54,2.476,0.0490111,1925.72,7.57268,0.058,0.00470144
4,"pion",1,0,0.00202772,16533.3,6699.43,76.7507,290363,1369.78,2.11,0.0494449,1451.81,6.84892,0.108,0.00470008
