EventID,PDGcode,nopflash,flash,flash_time,flashPE,maxhitamp,meanhitamp,maxhitarea,meanhitarea,maxhitwidth,meanhitwidth,maxhitPE,meanhitPE,maxhitrisetime,meanhitrisetime
17,-13,1,0,0.00178998,9385.74,4708.89,67.7027,138870,915.682,0.992,0.0444995,694.351,4.57841,0.086,0.00469561
18,-13,1,0,2.59176,2608.13,3520.82,59.7419,96067.5,695.502,1.002,0.041056,480.337,3.47751,0.028,0.00431467
19,-13,1,0,0.00127167,18412.4,5906.27,74.2746,264824,1286.68,1.71,0.048761,1324.12,6.43342,0.122,0.00471139
20,-13,2,0,0.00312332,18678.9,6551.84,73.5315,330335,1286.43,2.334,0.0478189,1651.68,6.43214,0.062,0.00469077
20,-13,2,1,8.62631,257.396,6551.84,73.5315,330335,1286.43,2.334,0.0478189,1651.68,6.43214,0.062,0.00469077
1,-13,1,0,0.000271668,7566.07,4151.35,64.1011,223544,908.292,2.276,0.0443649,1117.72,4.54146,0.13,0.00468908
2,-13,2,0,0.00102772,6390.04,3270.45,67.448,122166,928.786,1.17,0.0446294,610.828,4.64393,0.07,0.00464535
2,-13,2,1,8.29527,718.243,3270.45,67.448,122166,928.786,1.17,0.0446294,610.828,4.64393,0.07,0.00464535
3,-13,2,0,0.00367984,10771.6,5046.1,70.4971,166584,1069.67,1.366,0.0461112,832.918,5.34837,0.07,0.00466733
3,-13,2,1,8.90276,301.981,5046.1,70.4971,166584,1069.67,1.366,0.0461112,832.918,5.34837,0.07,0.00466733
4,-13,1,0,0.0014571,16944.8,5862.94,72.9265,345955,1526.56,2.132,0.0504559,1729.78,7.63281,0.114,0.00476306
5,-13,1,0,2.29449,2328.91,2893.41,61.4113,65482.5,727.783,0.538,0.0418219,327.413,3.63892,0.03,0.004475
6,-13,1,0,0.00212377,11217,4587.87,67.8949,258791,1258.92,2.206,0.04889,1293.96,6.29459,0.11,0.00480247
7,-13,1,0,0.00102772,6026.84,2451.08,63.4004,54314.2,749.607,0.714,0.0418806,271.571,3.74803,0.062,0.00456095
8,-13,1,0,0.000789984,8449.81,4148.61,64.8214,222582,1102.39,1.692,0.0459674,1112.91,5.51194,0.076,0.00469667
9,-13,1,0,0.00178998,13441.1,5026.39,71.135,272243,1296.78,2.228,0.0485046,1361.21,6.48388,0.584,0.00521466
10,-13,1,0,1.59038,2624.95,2926.43,60.7485,44778.4,632.519,0.518,0.0404819,223.892,3.1626,0.034,0.00448916
11,-13,1,0,0.00278998,17099.1,6366.81,72.963,304101,1255.9,2.184,0.0479912,1520.51,6.27952,0.182,0.00485567
12,-13,1,0,0.000457103,8055.35,4130.15,66.7036,193995,990.817,2.276,0.0458745,969.976,4.95409,0.282,0.00483272
13,-13,2,0,0.00117877,12358.2,4427.5,67.0114,184644,1002.69,2.01,0.0455197,923.222,5.01346,0.152,0.00472535
13,-13,2,1,8.00604,245.835,4427.5,67.0114,184644,1002.69,2.01,0.0455197,923.222,5.01346,0.152,0.00472535
14,-13,1,0,0.00091385,25149.9,6534.09,80.6694,452062,1840.46,2.778,0.0540571,2260.31,9.20229,0.1,0.0049689
15,-13,1,0,0.00174758,16798.9,5761.23,72.7487,263414,1261.65,1.916,0.0487225,1317.07,6.30825,0.2,0.00478107
16,-13,1,0,0.00418998,28531,9090.19,84.0036,807450,2085.6,3.982,0.0558911,4037.25,10.428,0.124,0.00500512
17,-13,2,0,0.00178998,6017.15,4242.51,66.0855,121623,963.514,1.296,0.0450921,608.114,4.81757,0.06,0.00463731
17,-13,2,1,8.43801,2134.2,4242.51,66.0855,121623,963.514,1.296,0.0450921,608.114,4.81757,0.06,0.00463731
18,-13,1,0,3.81125,1664,1613.05,56.8334,21175.2,539.386,0.272,0.0391248,105.876,2.69693,0.042,0.00444408
19,-13,1,0,0.00193834,17137.8,6594.76,75.6088,325783,1373.22,2.926,0.0491314,1628.91,6.86611,0.274,0.00505288
20,-13,1,0,0.00197763,18354.4,6676.68,73.7101,284600,1383.67,2.882,0.0498387,1423,6.91837,0.568,0.00492876
1,-13,1,0,1.25069,4639.49,2250.86,59.79,76186,781.718,1.13,0.0431811,380.93,3.90859,0.378,0.00502612
2,-13,1,0,0.00176375,6126.35,3384.35,61.9219,164446,983.363,1.274,0.0454189,822.231,4.91681,0.048,0.00453772
3,-13,1,0,0.00212377,10651.1,4899.07,68.2908,218683,1139.16,1.642,0.046508,1093.41,5.69578,0.176,0.0048385
